244,Izborna pozicija - 4,2,0,2,0.00,4,4,Zimski,Softversko inženjerstvo i informacione tehnologije
245,Izborna pozicija - 5,2,0,2,0.00,4,4,Zimski,Softversko inženjerstvo i informacione tehnologije
246,Izborna pozicija - 6,2,0,2,0.00,4,4,Zimski,Softversko inženjerstvo i informacione tehnologije
247,Izborna pozicija - 7,3,0,2,0.00,5,4,Zimski,Softversko inženjerstvo i informacione tehnologije
248,Izborna pozicija - 8,3,0,3,0.00,6,4,Zimski,Softversko inženjerstvo i informacione tehnologije
249,Stručna praksa - projekat,0,0,0,6.00,6,4,Zimski,Softversko inženjerstvo i informacione tehnologije
250,Pisana i govorna komunikacija u tehnici,2,0,1,0.00,4,4,Letnji,Softversko inženjerstvo i informacione tehnologije
251,Izborna pozicija - 10,3,0,3,0.00,6,4,Letnji,Softversko inženjerstvo i informacione tehnologije
252,Izborna pozicija - 11,3,0,2-3,0.00,5,4,Letnji,Softversko inženjerstvo i informacione tehnologije
253,Izborna pozicija  - 12,3-4,0,3-4,0.00,6,4,Letnji,Softversko inženjerstvo i informacione tehnologije
254,Završni rad - istraživački rad,0,0,0,0.00,5,4,Letnji,Softversko inženjerstvo i informacione tehnologije
255,Završni rad - izrada i odbrana,0,0,0,3.00,5,4,Letnji,Softversko inženjerstvo i informacione tehnologije
256,Algebra,4,4,0,0.00,9,1,Zimski,Informacioni inženjering
257,Osnovi programiranja i programskih jezika,4,1,3,0.00,7,1,Zimski,Informacioni inženjering
258,Uvod u informacioni i finansijski inženjering,2,0,2,0.00,3,1,Zimski,Informacioni inženjering
259,Komunikologija,2,2,0,0.00,4,1,Zimski,Informacioni inženjering
260,Mehanika,2,2,0,0.00,5,1,Zimski,Informacioni inženjering
261,Izborni strani jezik 1,2,0,0,0.00,2,1,Zimski,Informacioni inženjering
262,Matematička analiza 1,4,4,0,0.00,9,1,Letnji,Informacioni inženjering
263,Arhitektura računara,4,1,3,0.00,9,1,Letnji,Informacioni inženjering
264,Teorija algoritama,3,0,3,0.00,5,1,Letnji,Informacioni inženjering
265,Osnove finansijskog inženjeringa 1,3,1,2,0.00,5,1,Letnji,Informacioni inženjering
266,Izborni strani jezik 2,2,0,0,0.00,2,1,Letnji,Informacioni inženjering
267,Matematička analiza 2,3,3,0,0.00,7,2,Zimski,Informacioni inženjering
268,Osnove teorije grafova i kombinatorike,3,3,0,0.00,7,2,Zimski,Informacioni inženjering
269,Napredno programiranje i programski jezici,4,1,3,0.00,8,2,Zimski,Informacioni inženjering
270,Logičko projektovanje računarskih sistema 1,3,1,2,0.00,6,2,Zimski,Informacioni inženjering
271,Engleski jezik za informacioni inženjering,2,0,0,0.00,2,2,Zimski,Informacioni inženjering
272,Verovatnoća i slučajni procesi,2,2,0,0.00,5,2,Letnji,Informacioni inženjering
273,Matematička logika,3,2,0,0.00,5,2,Letnji,Informacioni inženjering
274,Operativni sistemi,4,1,3,0.00,8,2,Letnji,Informacioni inženjering
275,Veb programiranje,3,0,3,0.00,6,2,Letnji,Informacioni inženjering
276,Osnove finansijskog inženjeringa 2,3,2,0,0.00,6,2,Letnji,Informacioni inženjering
277,Optimizacioni algoritmi i nelinearno programiranje,4,2,2,0.00,8,3,Zimski,Informacioni inženjering
278,Numerički algoritmi i numerički softver,2,0,2,0.00,4,3,Zimski,Informacioni inženjering
279,Obrada vremenskih nizova podataka,3,1,1,0.00,5,3,Zimski,Informacioni inženjering
280,Baze podataka 1,4,1,3,0.00,8,3,Zimski,Informacioni inženjering
281,Programski prevodioci,3,0,2,0.00,5,3,Zimski,Informacioni inženjering
282,Praktikum iz statistike,2,0,1,0.00,4,3,Letnji,Informacioni inženjering
283,Paralelno računarstvo,2,0,2,0.00,4,3,Letnji,Informacioni inženjering
284,Izborni predmet II31,4,0-1,3-4,0.00,8,3,Letnji,Informacioni inženjering
285,Izborni predmet II32,2,0-2,0-2,0.00,4,3,Letnji,Informacioni inženjering
286,Izborni predmet II33,3,0,3,0.00,6,3,Letnji,Informacioni inženjering
287,Izborni predmet II34,2-3,0-2,0-2,0.00,4,3,Letnji,Informacioni inženjering
288,Matematika 1,3,3,0,0.00,6,1,Zimski,Čiste energetske tehnologije
289,"Energija, društvo i okruženje",3,3,0,0.00,6,1,Zimski,Čiste energetske tehnologije
290,Hemijski fenomeni u mašinstvu,2,0,2,0.00,4,1,Zimski,Čiste energetske tehnologije
291,Izborni predmet - strani jezik,2,0,0,0.00,2,1,Zimski,Čiste energetske tehnologije
292,Inženjerski materijali,3,0,3,0.00,7,1,Zimski,Čiste energetske tehnologije
293,Osnovi elektrotehnike,2,2,0,0.00,5,1,Zimski,Čiste energetske tehnologije
294,Matematika 2,3,3,0,0.00,6,1,Letnji,Čiste energetske tehnologije
